asset_class,counterparty,instrument_id,instrument_name,trade_date_time,trade_date_time_2,price,buySellIndicator,trader
Adventure|Drama|Romance,Rogahn and Sons,047074052-3,DELT,2021-07-16,19:18,356.8,false,Gallard Ashall
Adventure|Horror|Sci-Fi,"Deckow, Stroman and Weimann",662854598-9,LYTS,2022-02-04,11:14,439.3,false,Boyce De Gregorio
Drama|Sci-Fi,Rosenbaum-Harber,167994277-8,CUBI^C,2021-09-01,8:07,640.28,true,Lorin Brabbins
Crime|Drama|Film-Noir|Thriller,"Wehner, Gerlach and Halvorson",029323323-3,NAII,2022-01-24,11:20,260.05,false,Giralda Mountain
Drama,"Donnelly, Gulgowski and Hyatt",005085268-X,PJC,2022-02-19,2:17,189.63,true,Becca Wiggington
Drama|War,Bechtelar LLC,238372801-2,IDRA,2022-06-21,10:25,454.8,false,Harp Jakubovits
Romance|Sci-Fi,"Hilll, Blick and Nikolaus",239552827-7,JPM^B,2022-03-05,15:32,140.78,false,Dara Gladstone
Drama,"Jones, Schumm and Hand",763360732-7,VTWV,2021-11-22,0:49,142.79,false,Baxy Redemile
Thriller,Price-Hermann,768639286-4,LDP,2021-08-08,0:01,508.66,true,Enrichetta Plascott
Action|Crime,Daugherty and Sons,792362231-0,PCYO,2021-07-05,14:07,301.39,false,Sauveur Glencrosche
Documentary,"McGlynn, Christiansen and Marks",496777599-3,UTF,2021-11-13,19:21,568.26,false,Cherice Hastie
Drama|Romance,Green LLC,251034019-0,GASS,2022-01-30,4:14,154.2,true,Inglebert Rykert
Action|Drama|War,Williamson-O'Kon,707417422-X,NIM,2022-01-29,21:01,451.96,false,Archibaldo Tedridge
Drama,"Bradtke, Ankunding and Heathcote",727388685-8,FDC,2021-07-23,1:56,457.29,false,Baryram Basketter
Drama,Rohan-McGlynn,796840232-8,SYNT,2022-06-03,14:51,136.92,false,Nicko McAne
Comedy,Lynch-Schamberger,653807979-2,KIM^J,2022-01-31,9:13,244.52,true,Bentlee Bartali
Drama,"Leuschke, Gulgowski and Waters",544360320-5,PGH,2021-10-31,9:24,548.44,true,Arv Kiltie
Comedy|Drama,Heidenreich LLC,891855635-7,AYR,2021-10-20,18:57,907.22,true,Ewart Dabbes
Comedy,White Inc,604963216-2,FANH,2021-10-24,4:42,356.52,true,Rainer Dossett
Comedy|Drama,"Hilpert, Nicolas and Hamill",611813411-1,CIO,2022-03-17,9:43,849.91,false,Towney Broome
Drama|Romance,Mertz-Beier,908977437-8,CCRN,2021-12-17,3:45,321.75,false,Valina Collidge
Comedy|Musical,Reilly-Hodkiewicz,349206691-7,MS^I,2022-02-02,23:30,173.2,false,Kilian Thams
Comedy|Musical,Pagac-Nolan,505654550-3,CMCM,2022-03-07,21:26,594.18,false,Ewell Toderbrugge
Action|Adventure|Sci-Fi|Thriller,Dickinson LLC,840761969-8,CIR,2022-02-16,18:14,159.73,true,Emmi Sturge
Mystery|Thriller,Moen-Dooley,202739288-2,MINDP,2022-06-22,3:34,380.51,false,Alikee Pennock
Action|Animation|Comedy|Sci-Fi|Western,Towne Group,106489529-8,INVH,2021-08-16,22:18,456.41,true,Luke Russell
Drama|Fantasy|Horror|Thriller,"Kuhlman, Jacobs and Purdy",225071537-8,RDC,2021-08-20,12:34,188.28,false,Madison Poletto
Drama|Mystery,Hauck and Sons,215148574-9,UPS,2022-05-09,23:35,24.19,true,Roda Kimbling
Drama,Rau Inc,770143165-9,AXAR,2022-03-15,14:39,439.53,false,Rosalyn Bennetto
Drama|Romance,Torp Group,668585116-3,DLB,2021-10-31,23:40,347.07,false,York Hemmingway
Comedy,"Hickle, Leffler and Hermiston",923150509-2,UCP,2021-12-16,11:27,501.23,false,Dorelia Weagener
Thriller,"Frami, Larson and Keebler",417676600-X,AGND,2022-03-04,0:49,569.75,true,Kelsi Furness
Action|Drama,Swift-White,910479152-5,SOHOB,2021-11-10,17:08,43.54,true,Therese Buckby
Documentary,Witting Inc,536050629-6,LAZ,2021-12-07,10:19,872.59,true,Marcie Ionnisian
Drama,"Hessel, Torp and Steuber",354679902-X,OFC^L.CL,2022-05-10,15:39,753.74,false,Alister Clementel
Adventure|Crime,Corwin-Bruen,787332866-X,FOX,2022-03-16,21:13,299.74,false,Kathe Costelloe
Adventure|Comedy|Sci-Fi,Carter-Douglas,914836524-6,MRNS,2022-06-26,21:32,52.56,true,Cathleen Pollastrone
Drama,Pollich and Sons,141456827-4,TCCB,2022-05-04,16:37,259.45,true,Terrance Mariette
Comedy|Drama,Herman Group,494783966-X,OXBRW,2022-02-26,17:35,55.46,false,Timmie Jedrychowski
Horror,"Konopelski, Wintheiser and Hahn",447988460-2,HIW,2022-05-18,19:11,18.01,false,Richmond Winwright
(no genres listed),Kuvalis-Bogan,205458837-7,QUIK,2021-11-01,7:50,974.73,true,Avivah Kiddell
Adventure|Animation|Comedy,Dickinson LLC,167093701-1,KLAC,2022-01-11,6:32,402.29,false,Nick McGucken
Drama|Romance,"Batz, Yost and Murphy",238215789-5,PNTR,2021-10-05,14:20,212.47,true,Joyan Ricks
Drama,Rowe Inc,566742562-9,BLVDW,2022-02-03,19:40,489.73,true,Benyamin Dehm
Drama|Romance,DuBuque Inc,692836790-3,NGLS^A,2022-05-09,22:36,343.42,true,Beryl Franzman
Comedy|Drama|Romance,Davis-Metz,807910190-6,ARCB,2021-09-18,11:11,477.64,false,Lorant Searston
Action,,393651197-7,ROG,2021-09-13,9:58,196.1,true,Garland Tumber
Drama|Sci-Fi|Western,,645867877-0,TUSA,2022-04-22,22:11,962.24,false,Donaugh Blumfield
Children|Comedy|Fantasy,"Jacobs, Koepp and Abshire",654054675-0,MCFT,2021-07-23,16:12,296.31,true,Marsiella Cawthorn
Adventure|Drama,"Haley, Murazik and Runolfsdottir",843759267-4,TGS,2021-12-13,11:11,645.12,true,Rafe Petraitis
Crime|Mystery|Thriller,Hoppe-Grady,692937019-3,DHG,2021-10-27,18:18,256.85,false,Rafa Eastbury
Comedy|Documentary|Romance,"Nitzsche, Gulgowski and Kuhlman",671340247-X,PFPT,2021-10-28,12:36,682.7,false,Tarrah Kisbey
Comedy|Crime|Drama|Thriller,Ruecker and Sons,276538043-0,VBFC,2021-12-03,9:39,211.2,true,Mattie Cymper
Comedy,Roob Inc,368966355-5,SIGM,2022-06-17,14:11,948.32,false,Drugi Vockins
Drama,"Gutmann, Hills and Kreiger",095582791-4,ELS,2022-02-06,7:24,184.73,false,Stuart Caris
Animation|Children,"Hermiston, Stokes and Jacobs",995296506-0,RESI,2021-11-04,17:13,975.14,false,Gerald Clyma
Western,Feeney-Muller,508844629-2,OAS,2021-11-25,11:52,264.34,true,Anthia Pool
Drama|Fantasy|Romance,"Ratke, O'Keefe and Hansen",128095644-5,ESES,2021-10-23,1:03,230.99,true,Hillary Clara
Action|Adventure|Drama|Fantasy|IMAX,"Wolf, Boyle and Jaskolski",637223646-X,RUBI,2022-03-03,8:09,306.16,false,Jabez Lamerton
Comedy,Morar-Considine,669589381-0,ADRO,2022-06-27,8:38,988.22,true,Erica Batecok
Action|Adventure|Fantasy,Dicki and Sons,608952187-6,ONTX,2021-07-09,20:46,904.36,false,Janean Crossgrove
Drama,Kertzmann-Hyatt,369573490-6,STAG^B,2021-07-18,21:59,982.27,true,Ernestine Woodfin
Crime|Drama,McDermott LLC,501360175-4,TRNC,2022-04-24,6:51,182.2,true,Pam Chark
Documentary,Grant LLC,828326820-1,TIF,2022-01-26,4:32,540.69,true,Kirby Whatford
Action|Mystery|Thriller,"Shields, Goodwin and Howe",308166748-8,KRNY,2022-03-10,12:24,874.12,true,Wald Blackaby
Drama,,211055041-4,PIZ,2022-04-21,6:32,973.8,true,Royal Jaycocks
Adventure|Comedy,MacGyver Inc,563226436-X,GPAC,2022-01-23,10:43,90.82,false,Hamnet Teck
Drama,Greenfelder-Pouros,725695337-2,SPGI,2021-08-05,20:25,659.14,true,Claribel Scranedge
Comedy,"Cormier, O'Hara and Olson",133801190-1,GPX,2021-10-25,9:54,800.48,true,Malvin Chaston
Drama|War,Lebsack Group,455999283-5,DSLV,2022-01-14,5:58,328.0,false,Thornie Guppey
Action|Animation,"Haley, Schaefer and Lueilwitz",923446496-6,SRC,2022-06-17,2:11,66.81,false,Newton Leah
Drama|Romance,Rice and Sons,826619470-X,EMF,2022-05-08,2:08,904.08,true,Burr McMeekin
Horror,Cassin Group,899658447-9,WCN,2022-02-17,17:22,824.29,false,Ambros Tratton
Drama,Balistreri Inc,618577191-8,NX,2021-09-25,2:57,377.51,true,Leonanie Musterd
Adventure|Drama,Gleason-Block,027234165-7,KLXI,2021-08-02,11:11,618.91,false,Vivie Bysouth
Horror,,330903549-2,ESGU,2021-11-12,13:53,749.1,true,Chet Wisedale
Crime|Drama|Thriller,,026730357-2,AGNC,2022-02-10,11:24,530.62,false,Kirstyn D'Aeth
Drama,Labadie-Welch,725617459-4,TGLS,2022-06-07,16:43,90.58,false,Cyrillus Darnbrook
Action|Sci-Fi,,189359374-6,VNQI,2022-04-28,12:19,964.54,false,Fanni Aldus
Comedy,"Paucek, Mann and Bednar",246915390-5,QRVO,2022-01-07,21:26,479.33,false,Cari Ciccone
Drama|Fantasy|Horror|Mystery|Thriller,Abernathy-Kris,213247317-X,LDRI,2021-09-16,13:10,408.69,true,Cassondra Streat
Documentary,Roberts-Lowe,967737137-1,BK^C,2022-05-02,23:25,271.64,false,Phillis Capon
Crime|Drama|Fantasy,Rau-Bogan,371576331-0,TRUP,2022-04-05,12:21,234.12,true,Sharity Devons
Drama,,687269604-4,KONE,2022-02-04,4:57,51.54,false,Ursala Ramelet
Drama|Musical,Windler LLC,042194960-0,CIGI,2021-08-20,11:25,119.43,false,Meade Kivlehan
Mystery,Barrows-Fay,993018652-2,HIFR,2022-01-13,1:23,788.11,false,Fawne Benedicto
Action|Crime|Thriller,Miller Inc,813836419-X,YTEN,2022-03-11,20:10,684.82,true,Jasmine Schaffel
Comedy|Drama|Romance,Boehm-Berge,589250700-9,ATKR,2021-07-31,2:34,750.66,true,Gusti Hadingham
Comedy,Torp-Shanahan,003220526-0,CPE^A,2022-01-03,23:07,958.86,true,Cathi Noar
Action,Morissette-Denesik,536707496-0,KRG,2022-01-26,21:04,250.46,false,Florance Fontaine
Horror,"Doyle, Hyatt and Olson",674465741-0,KIM^I,2021-10-15,7:33,233.78,false,Lira Palfrey
Drama|Romance,Crooks LLC,025838050-0,CSS,2021-07-20,15:46,661.28,false,Byrann Cayette
Crime|Drama|Mystery,Ritchie Group,336545863-8,PSA^Z,2021-12-16,0:56,847.59,false,Rancell Ison
Drama,Quigley-Windler,532627326-8,DELT,2022-02-02,18:35,61.35,true,Jo ann Kays
Comedy,Emmerich and Sons,551050978-3,TMUS,2021-08-21,2:31,826.98,true,Humberto Hollyman
Comedy|Romance,,139380962-6,MMLP,2021-11-05,20:13,772.62,true,Gertruda Rookledge
Documentary,"Feeney, Deckow and Schamberger",817054931-0,MPC,2022-03-16,11:12,370.81,false,Shea Treuge
Comedy,"Rempel, Schmeler and Roob",055143016-8,FRAN,2022-06-22,5:01,368.61,true,Gary Begwell
Drama|Romance,Gutkowski and Sons,591034096-4,ACTA,2021-12-06,20:54,313.84,true,Margot Danilin
Comedy|Romance,"Schmeler, Skiles and Powlowski",071432760-3,GGG,2021-11-13,0:03,152.91,false,Rozalin Smitheman
Comedy,Morar-Prohaska,074985627-0,PMM,2021-12-02,9:24,94.43,true,Catlee Thorneloe
Adventure|Children|Comedy|Fantasy,"Bradtke, Gleichner and Treutel",322863375-6,QCOM,2021-12-09,20:27,149.15,true,Dorine Izen
Adventure,West-Luettgen,889431818-4,BEDU,2022-04-06,16:48,706.73,false,Coraline Almeida
Comedy,"Keeling, Dach and Rempel",075321027-4,FALN,2021-09-08,3:41,693.08,true,Dudley Amoore
Drama|Western,"Deckow, Larson and Kessler",447900274-X,AZN,2022-01-17,3:57,105.46,false,Anna-diane Sancroft
Animation|Children|Fantasy,"Flatley, Hoeger and Collier",725534181-0,WBT,2021-12-23,7:33,467.1,false,Natalina Jessep
Animation|Children,,940046978-0,LAD,2021-07-06,14:38,332.43,true,Katharine McGuire
Drama|War,Pacocha-Spencer,189287745-7,MIXT,2021-11-23,22:21,701.25,true,Diego Mousdall
Documentary,"Feeney, Nikolaus and Kreiger",354545659-5,CWT,2022-02-19,17:09,288.64,true,Worthy Curedale
Comedy,Torphy Inc,521906217-4,STAG,2021-09-04,19:47,688.12,false,Shane Wagon
Comedy,"Weissnat, Pollich and Abernathy",167714725-3,EMR,2021-10-26,12:19,524.34,true,Janeta Tewkesberrie
Drama|War,"Gleichner, Cormier and Frami",494748910-3,RLJ,2021-10-04,23:29,775.31,true,Celestia Stocken
Action|War,Stehr-Mueller,154214279-2,CFCO,2022-02-07,5:44,275.93,false,Renelle Gludor
Horror|Thriller,Klein-Balistreri,897992283-3,PRCP,2021-11-19,4:37,804.04,true,Winn Hopfer
Drama,Lebsack Group,040720989-1,TEAR,2022-02-10,3:24,199.34,false,Crissy Blezard
Comedy|Drama,,511862531-9,MAGS,2021-11-14,18:41,177.42,true,Kellen Dixey
Crime|Drama,Corkery-Schmidt,822356999-X,PIY,2021-07-19,1:41,72.73,true,Fancie Banaszczyk
Adventure|Drama|Romance,Mueller-Langosh,746497009-8,FF,2022-04-08,2:03,657.36,true,Avery Peniman
Comedy|Drama,"Raynor, Kuphal and Mante",205787920-8,WPT,2021-08-28,23:48,591.29,true,Freemon Hulburt
Comedy,Sanford Group,645850395-4,SILC,2022-05-30,18:57,12.82,true,Alla Sendall
Animation|Children|Fantasy,Larkin Inc,535628841-7,FNJN,2022-06-06,8:13,196.36,false,Kaile Lukes
Comedy|Drama,Legros-Ortiz,863478343-X,TCBIW,2021-12-24,6:56,364.56,true,Maud Lytle
Crime|Drama|Mystery|Thriller,King Group,682258722-5,LMFA,2021-08-29,9:19,31.72,false,Brod Stoney
Drama|Romance,,567677076-7,BLBD,2022-05-29,23:15,879.33,false,Galen Coward
Documentary,"Stamm, Mills and Gleason",467614470-9,HSTM,2021-11-19,19:51,893.35,true,Dalt Garlic
Action|Drama,"Harris, Kovacek and Witting",690048386-0,BAK,2022-06-28,18:25,124.26,true,Christel Faraday
Animation|Fantasy|Musical|Sci-Fi,,269669776-0,VLT,2022-02-14,13:53,30.52,false,Billy Pollok
Action,Kemmer-Lynch,579274297-9,GGP,2021-07-24,17:54,764.15,true,Pamelina Entwisle
Comedy,McLaughlin-Berge,572861739-5,CUBI,2022-06-02,19:06,158.3,true,Rana Dahlen
Comedy|Drama,Kozey and Sons,862516631-8,RAI,2021-12-01,2:02,244.78,true,Webb Cressingham
Drama,Jacobson Group,570549369-X,CFFI,2022-05-16,17:00,371.18,false,Inger Klejna
Drama,"Gulgowski, Luettgen and King",523958377-3,HPF,2021-08-17,18:31,929.1,false,Elladine Lundbech
Drama,"Considine, Mayer and Stanton",024575284-6,OACQW,2022-01-26,0:59,729.42,true,Konrad Ager
Mystery,Sipes and Sons,684758851-9,NORD,2021-08-17,8:26,214.61,true,Winifred Crinkley
Comedy,"Hansen, Lockman and Leuschke",162814487-4,NXC,2021-11-29,13:15,826.99,true,Zondra Peacocke
Comedy,,862055461-1,WAGE,2022-06-20,11:05,898.12,false,Alick Patty
Drama,"Swift, Stracke and Reilly",023564710-1,NEE^R,2021-12-20,18:32,736.37,true,Brandais Broz
Crime|Drama|Romance,Medhurst Group,906519433-9,AXS,2022-04-12,16:00,878.85,false,Una Goracci
Comedy|Drama|Romance,Wuckert LLC,747299171-6,ESLT,2021-08-31,9:01,944.38,true,Ole Scothern
Comedy|Crime,Wunsch-Pfannerstill,051818401-3,HMSY,2021-08-19,23:24,57.98,true,Pauly Lamp
Drama,Emmerich-Gislason,570254721-7,MIK,2021-10-21,18:28,349.94,false,Torey Vanyatin
Drama|Romance,Spencer-Dicki,044241034-4,CNSL,2022-06-02,3:30,353.06,false,Jeff Willatt
Crime|Drama,Kulas-Schowalter,228477149-1,SLM,2022-04-04,17:44,89.87,false,Gaby Unwins
Drama,"Feeney, Mueller and Jaskolski",424181973-7,PSEC,2022-02-09,17:59,829.15,false,Vanda Ioannou
Action|Drama,"Lind, Weimann and Ledner",159754845-6,CNIT,2021-09-13,3:16,482.94,false,Katya Goward
Drama,West-Conroy,571383578-2,TDY,2022-02-24,21:46,283.34,false,Dud Kos
Horror,"Moen, Runte and Medhurst",399535351-7,S,2021-09-16,15:07,603.07,true,Colman Thackham
Thriller,McDermott-Sanford,725724968-7,HDS,2021-12-21,5:33,151.37,true,Ashil Collier
Horror|Thriller,"Tillman, Bode and Donnelly",843457217-6,QIWI,2022-02-24,8:58,331.54,true,Miguel Crannell
Thriller,Lemke Group,153380696-9,PPG,2021-12-29,3:16,351.54,true,Gabbie Laurence
Crime|Drama,"Schultz, Nienow and Mertz",154739051-4,TRVG,2021-11-15,17:23,695.69,true,Jonathan Nend
Adventure|Drama,"Kshlerin, Hyatt and Wilderman",470248941-0,USPH,2022-01-08,20:38,995.17,false,Legra Skaid
Drama,Prosacco LLC,251589071-7,TYPE,2022-06-29,5:43,697.93,true,Dido Ickov
Drama,"Koss, Parker and Lind",815323936-8,LMBS,2021-10-31,4:54,570.43,true,Sigismundo Whitely
Action|Crime,"Boehm, Bechtelar and Blanda",993144691-9,NYMTO,2021-12-24,0:57,707.82,true,Emmalee Rappa
Film-Noir,"Jakubowski, Larkin and Monahan",159893287-X,PLNT,2021-08-03,1:44,561.37,false,Rozella Fluger
Comedy|Horror,Steuber-Rutherford,200519557-X,ECHO,2021-08-26,7:15,433.17,false,Sully Laroux
Drama,"Purdy, Ritchie and Murazik",998510956-2,SOL,2022-03-19,20:43,563.39,true,Gerhardt Hurran
Drama,Prosacco LLC,105320066-8,WFC^J,2021-10-18,11:59,970.85,false,Gaby Mourant
Children|Drama,Rath-Stroman,058306308-X,HLS,2022-06-10,8:52,450.2,false,Gregg Mathen
Animation|Children|Musical,Littel-Fritsch,712498497-1,LNCE,2021-09-04,17:59,765.56,true,Donna Carnall
Comedy|Drama,Gusikowski-Hintz,566793878-2,PNR,2022-01-15,10:35,674.06,false,Gilda Woodrooffe
Comedy|Drama,"Zboncak, Turner and Kerluke",301758369-4,SDRL,2021-08-19,5:26,167.72,false,Hirsch Penn
Drama,McGlynn-Botsford,635509687-6,USA,2021-09-22,1:55,833.85,false,Bryant Willis
Adventure,"Satterfield, Macejkovic and Nicolas",057317541-1,NEE^R,2022-01-01,10:07,28.55,true,Marielle Sultana
Thriller,Smitham Group,231967452-7,TRMK,2021-07-15,17:15,424.56,true,Zora Shade
Drama|Musical|Romance|War,Waters-Christiansen,350148190-X,BKD,2022-06-01,2:53,122.4,true,Byrann Bawme
Adventure|Animation|Children,"Bogisich, Kerluke and Hilll",645170997-2,TWO^A,2022-04-02,22:17,322.94,true,Kelley Tomaini
Action|Drama,Wiza LLC,742460872-X,SEIC,2021-08-29,6:58,180.05,false,Joyan Garford
Comedy,Leuschke Inc,226324999-0,NYMTO,2022-02-03,6:54,954.0,true,Meryl Galiford
Drama|Fantasy,Kessler-Upton,276848174-2,HBM.WS,2022-06-07,15:49,241.75,true,Bebe Tummasutti
Film-Noir|Mystery,Tremblay-Feil,391384912-2,EMCI,2022-03-30,21:20,513.83,false,Meg Palk
Adventure|Drama|War,O'Connell LLC,889053846-5,OCLR,2021-12-02,19:51,740.35,true,Morrie Hartmann
Drama,Roberts-Kreiger,788415884-1,BFO,2022-06-26,17:28,123.17,true,Rollo Bloomfield
Action|Adventure|Drama|War,"Wintheiser, Herzog and Mayert",710010133-6,TREC,2021-09-17,12:51,897.03,false,Geno Cudbertson
Drama,,210503575-2,EGOV,2022-06-12,3:15,218.07,true,Dayna Boone
Comedy|Sci-Fi,Weissnat Inc,932495041-X,SPWH,2021-08-03,21:19,828.68,true,Kira Stucksbury
Comedy|Drama,O'Hara Inc,890911691-9,STE,2021-07-04,17:17,491.44,true,Marillin Rubinek
Drama,"Feil, Stehr and Bednar",635887113-7,RYAM^A,2022-05-24,23:50,254.14,true,Lissa Giraudy
Comedy,Rempel-Aufderhar,642863550-X,ASA,2022-05-07,5:56,507.08,false,Almeta Dearlove
Drama,"Schiller, Veum and Nader",897021967-6,ASFI,2022-04-01,13:49,198.25,true,Oralie Kaspar
Action|Adventure|Animation,Pfeffer-Franecki,841508338-6,GOGL,2022-01-14,20:33,275.26,true,Otes Wattinham
Comedy|Drama,Shields-Yundt,620351631-7,GNC,2021-10-09,3:30,58.19,true,Ava Shapcott
Adventure|Animation|Comedy,Stark LLC,702484263-6,CHW,2021-07-22,1:48,14.08,false,Rakel Diboll
Documentary,Roob and Sons,937197359-5,PKD,2021-07-22,0:09,28.87,true,Ron Shearston
Horror,"Streich, Lockman and Schiller",884306195-X,AAWW,2022-05-11,12:00,539.78,true,Marylee Bowler
Drama,,749556668-X,IGF,2022-05-05,8:44,953.47,true,Karissa Wreakes
Action|Adventure|Drama|Sci-Fi,Schamberger and Sons,944175127-8,MOXC,2022-04-12,9:38,385.34,true,Quinta Airds
Action|Adventure|Horror|Thriller,"Farrell, Sipes and Dicki",971311596-1,HLIT,2021-10-26,9:19,887.94,true,Jacquenetta Milington
Drama,"Erdman, Herman and Ratke",019931556-6,BOKF,2021-08-28,1:31,259.72,true,Dulcinea Abelson
Comedy,Leannon LLC,984506854-5,UCP,2021-08-31,18:59,579.62,false,Marie-ann Meredyth
Sci-Fi|Thriller,"DuBuque, Hintz and Kling",120475381-4,D,2021-09-11,18:36,99.93,false,Jaquenette Jenoure
Action|Drama|War,"Howe, Breitenberg and Veum",943375138-8,BLVDW,2022-01-22,15:26,204.4,true,Joel Dexter
Drama,"Shanahan, Cartwright and Ward",590560503-3,OLP,2022-04-30,15:34,771.52,true,Boigie Marvell
Comedy|Musical,Raynor LLC,516096839-3,MATW,2022-04-30,5:16,170.12,true,Waverley Laite
Animation|Children,Ankunding Group,473799312-3,BOBE,2021-07-11,9:01,803.12,true,Winslow Mowsley
Action|Adventure|Animation|Children,Hahn-Kub,162411585-3,MBFI,2021-07-10,3:37,370.56,true,Pauly Onion
Comedy|Drama,"Smith, Mosciski and Ward",183342417-4,AXAS,2021-12-16,12:49,344.15,true,Fitz Tolcher
Action|Comedy|Sci-Fi,"Schoen, Cremin and Emmerich",184530448-9,FENG,2022-04-22,23:43,384.96,false,Darb Tomicki
Comedy,"Quigley, Dickinson and Kassulke",619873229-0,EGY,2022-03-16,13:21,455.82,true,Benedikt Wise
Horror|Thriller,Harris and Sons,654332844-4,LDF,2021-08-26,19:40,397.23,false,Doug Dibben
Children,Bins Group,360971436-0,DEST,2022-06-14,7:29,656.12,false,Roderick Hesser
Crime|Film-Noir|Horror|Romance|Thriller,"Willms, Price and Keeling",385967223-1,BURL,2022-06-09,6:41,114.26,true,Kennett Losty
Thriller,McGlynn-Thompson,933993634-5,OFG,2021-09-22,15:21,745.27,false,Pete Laible
Drama|Thriller,Hilll-Kuphal,425704815-8,PII,2022-04-18,1:46,79.87,true,Dee Bezley
Drama,Hartmann and Sons,608360963-1,APWC,2022-07-02,13:39,590.32,true,Geraldine Durtnel
Comedy|Drama|Horror,"McCullough, Bradtke and Hammes",475331450-2,PID,2021-09-10,16:18,937.97,true,Sonnie Varndall
Comedy|Romance,O'Keefe-Hane,343606881-0,INWK,2022-01-10,6:01,151.7,false,Vitia Imison
Drama|Romance,"Carroll, Walker and Medhurst",951712947-5,JMBA,2021-08-04,14:47,272.26,true,Keelby Rubinsaft
Comedy|Documentary,Aufderhar LLC,701639358-5,MDLX,2021-11-26,18:14,187.47,false,Nigel Gibbonson
Crime|Drama|Mystery,Hermiston and Sons,828803207-9,TERP,2021-12-30,13:26,908.76,true,Geno Hadrill
Children|Comedy|Mystery,"Kuvalis, Leuschke and King",564026865-4,MLI,2022-05-21,14:28,256.85,false,Haslett Benbow
Adventure|Children,Nienow Group,310473201-9,DSU,2021-09-17,17:22,212.07,false,Annecorinne Robertet
Crime|Drama,Sipes-Goodwin,671703287-1,SMTX,2021-12-07,13:45,250.07,false,Riobard McShee
Horror|Thriller,Russel and Sons,760616846-6,ABY,2022-05-14,9:29,68.52,true,Lari Abbotson
