,asset_class,counterparty,instrument_id,instrument_name,trade_date_time,trade_date_time_2,price,buySellIndicator,trader,quantity,trade_id
42,Drama Romance,Green LLC,251034019-0,GASS,2022-01-30 04:14:00,4:14,154.2,BUY,Inglebert Rykert,3852,3852
43,Action Drama War,Williamson-O'Kon,707417422-X,NIM,2022-01-29 21:01:00,21:01,451.96,SELL,Archibaldo Tedridge,3389,3389
44,Drama,"Bradtke, Ankunding and Heathcote",727388685-8,FDC,2021-07-23 01:56:00,1:56,457.29,SELL,Baryram Basketter,3342,3342
45,Drama,Rohan-McGlynn,796840232-8,SYNT,2022-06-03 14:51:00,14:51,136.92,SELL,Nicko McAne,424,424
46,Comedy,Lynch-Schamberger,653807979-2,KIM^J,2022-01-31 09:13:00,9:13,244.52,BUY,Bentlee Bartali,4048,4048
47,Drama,"Leuschke, Gulgowski and Waters",544360320-5,PGH,2021-10-31 09:24:00,9:24,548.44,BUY,Arv Kiltie,4572,4572
48,Comedy Drama,Heidenreich LLC,891855635-7,AYR,2021-10-20 18:57:00,18:57,907.22,BUY,Ewart Dabbes,416,416
49,Comedy,White Inc,604963216-2,FANH,2021-10-24 04:42:00,4:42,356.52,BUY,Rainer Dossett,610,610
50,Comedy Drama,"Hilpert, Nicolas and Hamill",611813411-1,CIO,2022-03-17 09:43:00,9:43,849.91,SELL,Towney Broome,2226,2226
51,Drama Romance,Mertz-Beier,908977437-8,CCRN,2021-12-17 03:45:00,3:45,321.75,SELL,Valina Collidge,4134,4134
52,Comedy Musical,Reilly-Hodkiewicz,349206691-7,MS^I,2022-02-02 23:30:00,23:30,173.2,SELL,Kilian Thams,3332,3332
53,Comedy Musical,Pagac-Nolan,505654550-3,CMCM,2022-03-07 21:26:00,21:26,594.18,SELL,Ewell Toderbrugge,4572,4572
54,Action Adventure Sci-Fi Thriller,Dickinson LLC,840761969-8,CIR,2022-02-16 18:14:00,18:14,159.73,BUY,Emmi Sturge,948,948
55,Mystery Thriller,Moen-Dooley,202739288-2,MINDP,2022-06-22 03:34:00,3:34,380.51,SELL,Alikee Pennock,3711,3711
56,Action Animation Comedy Sci-Fi Western,Towne Group,106489529-8,INVH,2021-08-16 22:18:00,22:18,456.41,BUY,Luke Russell,3956,3956
57,Drama Fantasy Horror Thriller,"Kuhlman, Jacobs and Purdy",225071537-8,RDC,2021-08-20 12:34:00,12:34,188.28,SELL,Madison Poletto,2518,2518
58,Drama Mystery,Hauck and Sons,215148574-9,UPS,2022-05-09 23:35:00,23:35,24.19,BUY,Roda Kimbling,4475,4475
59,Drama,Rau Inc,770143165-9,AXAR,2022-03-15 14:39:00,14:39,439.53,SELL,Rosalyn Bennetto,4104,4104
60,Drama Romance,Torp Group,668585116-3,DLB,2021-10-31 23:40:00,23:40,347.07,SELL,York Hemmingway,5544,5544
61,Comedy,"Hickle, Leffler and Hermiston",923150509-2,UCP,2021-12-16 11:27:00,11:27,501.23,SELL,Dorelia Weagener,288,288
62,Thriller,"Frami, Larson and Keebler",417676600-X,AGND,2022-03-04 00:49:00,0:49,569.75,BUY,Kelsi Furness,2867,2867
63,Action Drama,Swift-White,910479152-5,SOHOB,2021-11-10 17:08:00,17:08,43.54,BUY,Therese Buckby,1419,1419
64,Documentary,Witting Inc,536050629-6,LAZ,2021-12-07 10:19:00,10:19,872.59,BUY,Marcie Ionnisian,1421,1421
65,Drama,"Hessel, Torp and Steuber",354679902-X,OFC^L.CL,2022-05-10 15:39:00,15:39,753.74,SELL,Alister Clementel,5490,5490
66,Adventure Crime,Corwin-Bruen,787332866-X,FOX,2022-03-16 21:13:00,21:13,299.74,SELL,Kathe Costelloe,3653,3653
67,Adventure Comedy Sci-Fi,Carter-Douglas,914836524-6,MRNS,2022-06-26 21:32:00,21:32,52.56,BUY,Cathleen Pollastrone,1749,1749
68,Drama,Pollich and Sons,141456827-4,TCCB,2022-05-04 16:37:00,16:37,259.45,BUY,Terrance Mariette,4559,4559
69,Comedy Drama,Herman Group,494783966-X,OXBRW,2022-02-26 17:35:00,17:35,55.46,SELL,Timmie Jedrychowski,5813,5813
70,Horror,"Konopelski, Wintheiser and Hahn",447988460-2,HIW,2022-05-18 19:11:00,19:11,18.01,SELL,Richmond Winwright,2784,2784
71,(no genres listed),Kuvalis-Bogan,205458837-7,QUIK,2021-11-01 07:50:00,7:50,974.73,BUY,Avivah Kiddell,201,201
72,Adventure Animation Comedy,Dickinson LLC,167093701-1,KLAC,2022-01-11 06:32:00,6:32,402.29,SELL,Nick McGucken,4666,4666
73,Drama Romance,"Batz, Yost and Murphy",238215789-5,PNTR,2021-10-05 14:20:00,14:20,212.47,BUY,Joyan Ricks,2717,2717
74,Drama,Rowe Inc,566742562-9,BLVDW,2022-02-03 19:40:00,19:40,489.73,BUY,Benyamin Dehm,4088,4088
75,Drama Romance,DuBuque Inc,692836790-3,NGLS^A,2022-05-09 22:36:00,22:36,343.42,BUY,Beryl Franzman,5661,5661
76,Comedy Drama Romance,Davis-Metz,807910190-6,ARCB,2021-09-18 11:11:00,11:11,477.64,SELL,Lorant Searston,5506,5506
77,Action,,393651197-7,ROG,2021-09-13 09:58:00,9:58,196.1,BUY,Garland Tumber,1439,1439
78,Drama Sci-Fi Western,,645867877-0,TUSA,2022-04-22 22:11:00,22:11,962.24,SELL,Donaugh Blumfield,4983,4983
79,Children Comedy Fantasy,"Jacobs, Koepp and Abshire",654054675-0,MCFT,2021-07-23 16:12:00,16:12,296.31,BUY,Marsiella Cawthorn,1918,1918
80,Adventure Drama,"Haley, Murazik and Runolfsdottir",843759267-4,TGS,2021-12-13 11:11:00,11:11,645.12,BUY,Rafe Petraitis,711,711
81,Crime Mystery Thriller,Hoppe-Grady,692937019-3,DHG,2021-10-27 18:18:00,18:18,256.85,SELL,Rafa Eastbury,5243,5243
82,Comedy Documentary Romance,"Nitzsche, Gulgowski and Kuhlman",671340247-X,PFPT,2021-10-28 12:36:00,12:36,682.7,SELL,Tarrah Kisbey,2002,2002
83,Comedy Crime Drama Thriller,Ruecker and Sons,276538043-0,VBFC,2021-12-03 09:39:00,9:39,211.2,BUY,Mattie Cymper,5462,5462
84,Comedy,Roob Inc,368966355-5,SIGM,2022-06-17 14:11:00,14:11,948.32,SELL,Drugi Vockins,5280,5280
85,Drama,"Gutmann, Hills and Kreiger",095582791-4,ELS,2022-02-06 07:24:00,7:24,184.73,SELL,Stuart Caris,3105,3105
86,Animation Children,"Hermiston, Stokes and Jacobs",995296506-0,RESI,2021-11-04 17:13:00,17:13,975.14,SELL,Gerald Clyma,150,150
87,Western,Feeney-Muller,508844629-2,OAS,2021-11-25 11:52:00,11:52,264.34,BUY,Anthia Pool,3622,3622
88,Drama Fantasy Romance,"Ratke, O'Keefe and Hansen",128095644-5,ESES,2021-10-23 01:03:00,1:03,230.99,BUY,Hillary Clara,4339,4339
89,Action Adventure Drama Fantasy IMAX,"Wolf, Boyle and Jaskolski",637223646-X,RUBI,2022-03-03 08:09:00,8:09,306.16,SELL,Jabez Lamerton,3543,3543
90,Comedy,Morar-Considine,669589381-0,ADRO,2022-06-27 08:38:00,8:38,988.22,BUY,Erica Batecok,3564,3564
91,Action Adventure Fantasy,Dicki and Sons,608952187-6,ONTX,2021-07-09 20:46:00,20:46,904.36,SELL,Janean Crossgrove,1478,1478
92,Drama,Kertzmann-Hyatt,369573490-6,STAG^B,2021-07-18 21:59:00,21:59,982.27,BUY,Ernestine Woodfin,2276,2276
93,Crime Drama,McDermott LLC,501360175-4,TRNC,2022-04-24 06:51:00,6:51,182.2,BUY,Pam Chark,5154,5154
94,Documentary,Grant LLC,828326820-1,TIF,2022-01-26 04:32:00,4:32,540.69,BUY,Kirby Whatford,1954,1954
95,Action Mystery Thriller,"Shields, Goodwin and Howe",308166748-8,KRNY,2022-03-10 12:24:00,12:24,874.12,BUY,Wald Blackaby,2653,2653
96,Drama,,211055041-4,PIZ,2022-04-21 06:32:00,6:32,973.8,BUY,Royal Jaycocks,2407,2407
97,Adventure Comedy,MacGyver Inc,563226436-X,GPAC,2022-01-23 10:43:00,10:43,90.82,SELL,Hamnet Teck,1046,1046
98,Drama,Greenfelder-Pouros,725695337-2,SPGI,2021-08-05 20:25:00,20:25,659.14,BUY,Claribel Scranedge,5914,5914
99,Comedy,"Cormier, O'Hara and Olson",133801190-1,GPX,2021-10-25 09:54:00,9:54,800.48,BUY,Malvin Chaston,136,136
100,Drama War,Lebsack Group,455999283-5,DSLV,2022-01-14 05:58:00,5:58,328.0,SELL,Thornie Guppey,4013,4013
101,Action Animation,"Haley, Schaefer and Lueilwitz",923446496-6,SRC,2022-06-17 02:11:00,2:11,66.81,SELL,Newton Leah,4812,4812
102,Drama Romance,Rice and Sons,826619470-X,EMF,2022-05-08 02:08:00,2:08,904.08,BUY,Burr McMeekin,5039,5039
103,Horror,Cassin Group,899658447-9,WCN,2022-02-17 17:22:00,17:22,824.29,SELL,Ambros Tratton,3176,3176
104,Drama,Balistreri Inc,618577191-8,NX,2021-09-25 02:57:00,2:57,377.51,BUY,Leonanie Musterd,668,668
105,Adventure Drama,Gleason-Block,027234165-7,KLXI,2021-08-02 11:11:00,11:11,618.91,SELL,Vivie Bysouth,4386,4386
106,Horror,,330903549-2,ESGU,2021-11-12 13:53:00,13:53,749.1,BUY,Chet Wisedale,4079,4079
107,Crime Drama Thriller,,026730357-2,AGNC,2022-02-10 11:24:00,11:24,530.62,SELL,Kirstyn D'Aeth,3451,3451
108,Drama,Labadie-Welch,725617459-4,TGLS,2022-06-07 16:43:00,16:43,90.58,SELL,Cyrillus Darnbrook,4118,4118
109,Action Sci-Fi,,189359374-6,VNQI,2022-04-28 12:19:00,12:19,964.54,SELL,Fanni Aldus,3788,3788
110,Comedy,"Paucek, Mann and Bednar",246915390-5,QRVO,2022-01-07 21:26:00,21:26,479.33,SELL,Cari Ciccone,1653,1653
111,Drama Fantasy Horror Mystery Thriller,Abernathy-Kris,213247317-X,LDRI,2021-09-16 13:10:00,13:10,408.69,BUY,Cassondra Streat,2945,2945
112,Documentary,Roberts-Lowe,967737137-1,BK^C,2022-05-02 23:25:00,23:25,271.64,SELL,Phillis Capon,3565,3565
113,Crime Drama Fantasy,Rau-Bogan,371576331-0,TRUP,2022-04-05 12:21:00,12:21,234.12,BUY,Sharity Devons,2841,2841
114,Drama,,687269604-4,KONE,2022-02-04 04:57:00,4:57,51.54,SELL,Ursala Ramelet,2675,2675
115,Drama Musical,Windler LLC,042194960-0,CIGI,2021-08-20 11:25:00,11:25,119.43,SELL,Meade Kivlehan,5219,5219
116,Mystery,Barrows-Fay,993018652-2,HIFR,2022-01-13 01:23:00,1:23,788.11,SELL,Fawne Benedicto,1943,1943
117,Action Crime Thriller,Miller Inc,813836419-X,YTEN,2022-03-11 20:10:00,20:10,684.82,BUY,Jasmine Schaffel,3891,3891
118,Comedy Drama Romance,Boehm-Berge,589250700-9,ATKR,2021-07-31 02:34:00,2:34,750.66,BUY,Gusti Hadingham,4556,4556
119,Comedy,Torp-Shanahan,003220526-0,CPE^A,2022-01-03 23:07:00,23:07,958.86,BUY,Cathi Noar,3742,3742
120,Action,Morissette-Denesik,536707496-0,KRG,2022-01-26 21:04:00,21:04,250.46,SELL,Florance Fontaine,5487,5487
121,Horror,"Doyle, Hyatt and Olson",674465741-0,KIM^I,2021-10-15 07:33:00,7:33,233.78,SELL,Lira Palfrey,481,481
122,Drama Romance,Crooks LLC,025838050-0,CSS,2021-07-20 15:46:00,15:46,661.28,SELL,Byrann Cayette,3276,3276
123,Crime Drama Mystery,Ritchie Group,336545863-8,PSA^Z,2021-12-16 00:56:00,0:56,847.59,SELL,Rancell Ison,418,418
124,Drama,Quigley-Windler,532627326-8,DELT,2022-02-02 18:35:00,18:35,61.35,BUY,Jo ann Kays,4065,4065
125,Comedy,Emmerich and Sons,551050978-3,TMUS,2021-08-21 02:31:00,2:31,826.98,BUY,Humberto Hollyman,539,539
126,Comedy Romance,,139380962-6,MMLP,2021-11-05 20:13:00,20:13,772.62,BUY,Gertruda Rookledge,3223,3223
127,Documentary,"Feeney, Deckow and Schamberger",817054931-0,MPC,2022-03-16 11:12:00,11:12,370.81,SELL,Shea Treuge,2104,2104
128,Comedy,"Rempel, Schmeler and Roob",055143016-8,FRAN,2022-06-22 05:01:00,5:01,368.61,BUY,Gary Begwell,2785,2785
129,Drama Romance,Gutkowski and Sons,591034096-4,ACTA,2021-12-06 20:54:00,20:54,313.84,BUY,Margot Danilin,179,179
130,Comedy Romance,"Schmeler, Skiles and Powlowski",071432760-3,GGG,2021-11-13 00:03:00,0:03,152.91,SELL,Rozalin Smitheman,4813,4813
131,Comedy,Morar-Prohaska,074985627-0,PMM,2021-12-02 09:24:00,9:24,94.43,BUY,Catlee Thorneloe,5500,5500
132,Adventure Children Comedy Fantasy,"Bradtke, Gleichner and Treutel",322863375-6,QCOM,2021-12-09 20:27:00,20:27,149.15,BUY,Dorine Izen,695,695
133,Adventure,West-Luettgen,889431818-4,BEDU,2022-04-06 16:48:00,16:48,706.73,SELL,Coraline Almeida,4953,4953
134,Comedy,"Keeling, Dach and Rempel",075321027-4,FALN,2021-09-08 03:41:00,3:41,693.08,BUY,Dudley Amoore,3617,3617
135,Drama Western,"Deckow, Larson and Kessler",447900274-X,AZN,2022-01-17 03:57:00,3:57,105.46,SELL,Anna-diane Sancroft,5532,5532
136,Animation Children Fantasy,"Flatley, Hoeger and Collier",725534181-0,WBT,2021-12-23 07:33:00,7:33,467.1,SELL,Natalina Jessep,2240,2240
137,Animation Children,,940046978-0,LAD,2021-07-06 14:38:00,14:38,332.43,BUY,Katharine McGuire,1124,1124
138,Drama War,Pacocha-Spencer,189287745-7,MIXT,2021-11-23 22:21:00,22:21,701.25,BUY,Diego Mousdall,688,688
139,Documentary,"Feeney, Nikolaus and Kreiger",354545659-5,CWT,2022-02-19 17:09:00,17:09,288.64,BUY,Worthy Curedale,5349,5349
140,Comedy,Torphy Inc,521906217-4,STAG,2021-09-04 19:47:00,19:47,688.12,SELL,Shane Wagon,1845,1845
141,Comedy,"Weissnat, Pollich and Abernathy",167714725-3,EMR,2021-10-26 12:19:00,12:19,524.34,BUY,Janeta Tewkesberrie,973,973
142,Drama War,"Gleichner, Cormier and Frami",494748910-3,RLJ,2021-10-04 23:29:00,23:29,775.31,BUY,Celestia Stocken,4322,4322
143,Action War,Stehr-Mueller,154214279-2,CFCO,2022-02-07 05:44:00,5:44,275.93,SELL,Renelle Gludor,3688,3688
144,Horror Thriller,Klein-Balistreri,897992283-3,PRCP,2021-11-19 04:37:00,4:37,804.04,BUY,Winn Hopfer,4965,4965
145,Drama,Lebsack Group,040720989-1,TEAR,2022-02-10 03:24:00,3:24,199.34,SELL,Crissy Blezard,2762,2762
146,Comedy Drama,,511862531-9,MAGS,2021-11-14 18:41:00,18:41,177.42,BUY,Kellen Dixey,5542,5542
147,Crime Drama,Corkery-Schmidt,822356999-X,PIY,2021-07-19 01:41:00,1:41,72.73,BUY,Fancie Banaszczyk,1773,1773
148,Adventure Drama Romance,Mueller-Langosh,746497009-8,FF,2022-04-08 02:03:00,2:03,657.36,BUY,Avery Peniman,2935,2935
149,Comedy Drama,"Raynor, Kuphal and Mante",205787920-8,WPT,2021-08-28 23:48:00,23:48,591.29,BUY,Freemon Hulburt,3617,3617
150,Comedy,Sanford Group,645850395-4,SILC,2022-05-30 18:57:00,18:57,12.82,BUY,Alla Sendall,2382,2382
151,Animation Children Fantasy,Larkin Inc,535628841-7,FNJN,2022-06-06 08:13:00,8:13,196.36,SELL,Kaile Lukes,289,289
152,Comedy Drama,Legros-Ortiz,863478343-X,TCBIW,2021-12-24 06:56:00,6:56,364.56,BUY,Maud Lytle,2914,2914
153,Crime Drama Mystery Thriller,King Group,682258722-5,LMFA,2021-08-29 09:19:00,9:19,31.72,SELL,Brod Stoney,5866,5866
154,Drama Romance,,567677076-7,BLBD,2022-05-29 23:15:00,23:15,879.33,SELL,Galen Coward,5486,5486
155,Documentary,"Stamm, Mills and Gleason",467614470-9,HSTM,2021-11-19 19:51:00,19:51,893.35,BUY,Dalt Garlic,5185,5185
156,Action Drama,"Harris, Kovacek and Witting",690048386-0,BAK,2022-06-28 18:25:00,18:25,124.26,BUY,Christel Faraday,238,238
157,Animation Fantasy Musical Sci-Fi,,269669776-0,VLT,2022-02-14 13:53:00,13:53,30.52,SELL,Billy Pollok,1460,1460
158,Action,Kemmer-Lynch,579274297-9,GGP,2021-07-24 17:54:00,17:54,764.15,BUY,Pamelina Entwisle,1638,1638
159,Comedy,McLaughlin-Berge,572861739-5,CUBI,2022-06-02 19:06:00,19:06,158.3,BUY,Rana Dahlen,4344,4344
160,Comedy Drama,Kozey and Sons,862516631-8,RAI,2021-12-01 02:02:00,2:02,244.78,BUY,Webb Cressingham,27,27
161,Drama,Jacobson Group,570549369-X,CFFI,2022-05-16 17:00:00,17:00,371.18,SELL,Inger Klejna,1535,1535
162,Drama,"Gulgowski, Luettgen and King",523958377-3,HPF,2021-08-17 18:31:00,18:31,929.1,SELL,Elladine Lundbech,4592,4592
163,Drama,"Considine, Mayer and Stanton",024575284-6,OACQW,2022-01-26 00:59:00,0:59,729.42,BUY,Konrad Ager,3890,3890
164,Mystery,Sipes and Sons,684758851-9,NORD,2021-08-17 08:26:00,8:26,214.61,BUY,Winifred Crinkley,2663,2663
165,Comedy,"Hansen, Lockman and Leuschke",162814487-4,NXC,2021-11-29 13:15:00,13:15,826.99,BUY,Zondra Peacocke,4390,4390
166,Comedy,,862055461-1,WAGE,2022-06-20 11:05:00,11:05,898.12,SELL,Alick Patty,3556,3556
167,Drama,"Swift, Stracke and Reilly",023564710-1,NEE^R,2021-12-20 18:32:00,18:32,736.37,BUY,Brandais Broz,2770,2770
168,Crime Drama Romance,Medhurst Group,906519433-9,AXS,2022-04-12 16:00:00,16:00,878.85,SELL,Una Goracci,4621,4621
169,Comedy Drama Romance,Wuckert LLC,747299171-6,ESLT,2021-08-31 09:01:00,9:01,944.38,BUY,Ole Scothern,4400,4400
170,Comedy Crime,Wunsch-Pfannerstill,051818401-3,HMSY,2021-08-19 23:24:00,23:24,57.98,BUY,Pauly Lamp,495,495
171,Drama,Emmerich-Gislason,570254721-7,MIK,2021-10-21 18:28:00,18:28,349.94,SELL,Torey Vanyatin,5650,5650
172,Drama Romance,Spencer-Dicki,044241034-4,CNSL,2022-06-02 03:30:00,3:30,353.06,SELL,Jeff Willatt,2516,2516
173,Crime Drama,Kulas-Schowalter,228477149-1,SLM,2022-04-04 17:44:00,17:44,89.87,SELL,Gaby Unwins,2473,2473
174,Drama,"Feeney, Mueller and Jaskolski",424181973-7,PSEC,2022-02-09 17:59:00,17:59,829.15,SELL,Vanda Ioannou,785,785
175,Action Drama,"Lind, Weimann and Ledner",159754845-6,CNIT,2021-09-13 03:16:00,3:16,482.94,SELL,Katya Goward,3176,3176
176,Drama,West-Conroy,571383578-2,TDY,2022-02-24 21:46:00,21:46,283.34,SELL,Dud Kos,1274,1274
177,Horror,"Moen, Runte and Medhurst",399535351-7,S,2021-09-16 15:07:00,15:07,603.07,BUY,Colman Thackham,3899,3899
178,Thriller,McDermott-Sanford,725724968-7,HDS,2021-12-21 05:33:00,5:33,151.37,BUY,Ashil Collier,1446,1446
179,Horror Thriller,"Tillman, Bode and Donnelly",843457217-6,QIWI,2022-02-24 08:58:00,8:58,331.54,BUY,Miguel Crannell,5749,5749
180,Thriller,Lemke Group,153380696-9,PPG,2021-12-29 03:16:00,3:16,351.54,BUY,Gabbie Laurence,5743,5743
181,Crime Drama,"Schultz, Nienow and Mertz",154739051-4,TRVG,2021-11-15 17:23:00,17:23,695.69,BUY,Jonathan Nend,5101,5101
182,Adventure Drama,"Kshlerin, Hyatt and Wilderman",470248941-0,USPH,2022-01-08 20:38:00,20:38,995.17,SELL,Legra Skaid,2559,2559
183,Drama,Prosacco LLC,251589071-7,TYPE,2022-06-29 05:43:00,5:43,697.93,BUY,Dido Ickov,3874,3874
184,Drama,"Koss, Parker and Lind",815323936-8,LMBS,2021-10-31 04:54:00,4:54,570.43,BUY,Sigismundo Whitely,1525,1525
185,Action Crime,"Boehm, Bechtelar and Blanda",993144691-9,NYMTO,2021-12-24 00:57:00,0:57,707.82,BUY,Emmalee Rappa,5994,5994
186,Film-Noir,"Jakubowski, Larkin and Monahan",159893287-X,PLNT,2021-08-03 01:44:00,1:44,561.37,SELL,Rozella Fluger,240,240
187,Comedy Horror,Steuber-Rutherford,200519557-X,ECHO,2021-08-26 07:15:00,7:15,433.17,SELL,Sully Laroux,3746,3746
188,Drama,"Purdy, Ritchie and Murazik",998510956-2,SOL,2022-03-19 20:43:00,20:43,563.39,BUY,Gerhardt Hurran,3519,3519
189,Drama,Prosacco LLC,105320066-8,WFC^J,2021-10-18 11:59:00,11:59,970.85,SELL,Gaby Mourant,819,819
190,Children Drama,Rath-Stroman,058306308-X,HLS,2022-06-10 08:52:00,8:52,450.2,SELL,Gregg Mathen,5331,5331
191,Animation Children Musical,Littel-Fritsch,712498497-1,LNCE,2021-09-04 17:59:00,17:59,765.56,BUY,Donna Carnall,4409,4409
192,Comedy Drama,Gusikowski-Hintz,566793878-2,PNR,2022-01-15 10:35:00,10:35,674.06,SELL,Gilda Woodrooffe,3129,3129
193,Comedy Drama,"Zboncak, Turner and Kerluke",301758369-4,SDRL,2021-08-19 05:26:00,5:26,167.72,SELL,Hirsch Penn,534,534
194,Drama,McGlynn-Botsford,635509687-6,USA,2021-09-22 01:55:00,1:55,833.85,SELL,Bryant Willis,3538,3538
